000000.000000 (000.000000)  Recording Start: Mon Apr 03 06:44:04 PM
000000.000022 (000.000022)  DebugLevel 4
000000.000041 (000.000019)  DebugRxFilter 1
000000.000059 (000.000018)  **************** NEW CLIENT SESSION ****************
000002.486943 (002.486884)  Connect() ID = 00 Dev = 01 Proto = J1939:Channel=1;Baud=Auto txSz = 00000 rxSz = 00000 Pkt = 0
000002.652184 (000.004299)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 89 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 FF 7D
000002.656365 (000.004181)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 8A 00 F0 FE 00 06 00 FF FF FF FF 00 00 F1 00 FF
000002.660943 (000.004578)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 9D 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 FF 7D
000002.664888 (000.003945)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 9E 00 E0 FE 00 06 00 FF 55 BD 3A 00 55 BD 3A 00
000002.668607 (000.003719)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 B2 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 FF 7D
000002.671768 (000.003161)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 B3 00 F5 FE 00 06 00 FF FF FF FF FF FF 48 FF FF
000002.675873 (000.004105)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 C5 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 FF 7D
000002.679629 (000.003756)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 C7 00 F1 FE 00 06 00 FF F7 00 00 00 00 00 00 30
000002.683530 (000.003901)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 C8 00 00 E0 00 06 00 FF FF FF FF FF FF F3 FF FF
000002.687301 (000.003772)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 DA 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 F0 7D
000002.691713 (000.004412)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 DC 00 03 F0 00 03 00 FF DD 00 00 FF FF FF 00 FF
000002.696527 (000.004813)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 DD 00 EE FE 00 06 00 FF 50 FF 80 2A FF FF 48 FF
000002.700494 (000.003968)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 ED 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 F0 7D
000002.704987 (000.004493)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 92 EE 00 A4 FE 00 06 00 FF FF FF FF FF FF FF FF FF
000002.708683 (000.003696)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 01 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 F0 7D
000002.712975 (000.004291)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 02 00 BD FE 00 06 00 FF 00 00 00 00 FF FF FF FF
000002.717076 (000.004102)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 15 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 F0 7D
000002.721795 (000.004719)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 16 00 01 F0 00 06 00 FF FF FF FF FF 00 FF FF FF
000002.725609 (000.003815)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 18 00 7C FD 00 06 00 FF F9 F3 D0 34 FD FF E7 FF
000002.730186 (000.004576)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 29 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 F0 7D
000002.734511 (000.004325)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 2A 00 00 F0 00 06 0F FF 00 7D FF FF 0F FF FF FF
000002.738630 (000.004119)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 2C 00 01 F0 00 06 0B FF CC FF F0 FF FF 5F FF FF
000002.743120 (000.004490)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 2D 00 F2 FE 00 06 00 FF 00 00 00 00 00 00 FF FF
000002.747188 (000.004068)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 35 00 BF FE 00 06 0B FF 00 00 7D 7D 7D 7D FF FF
000002.751596 (000.004408)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 1E 93 3D 00 04 F0 00 03 00 FF F8 00 FF 00 00 00 F0 7D
